,name,state,population,poverty_%,la_kids_%,la_novehicle_%,la_snap_%,fips
387,Carbon County,WY,15885,13.57,22.55,1.27,2.31,56007
388,Caribou County,ID,6963,8.55,21.04,1.36,1.9,16029
389,Carlisle County,KY,5104,19.2,21.12,1.92,4.41,21039
390,Carlton County,MN,35386,12.33,19.11,1.25,2.7,27017
391,Caroline County,MD,33066,14.8,23.55,2.08,5.95,24011
392,Caroline County,VA,28545,8.39,22.79,1.61,3.43,51033
393,Carroll County,AR,27446,15.01,19.5,1.85,2.93,5015
394,Carroll County,GA,110527,19.11,23.73,1.74,5.65,13045
395,Carroll County,IA,20816,8.8,19.67,1.33,2.45,19027
396,Carroll County,IL,15387,11.12,18.21,1.43,3.72,17015
397,Carroll County,IN,20155,10.1,20.29,1.25,1.32,18015
398,Carroll County,KY,10811,25.4,24.48,2.2,7.2,21041
399,Carroll County,MD,167134,5.32,21.14,1.25,1.99,24013
400,Carroll County,MO,9295,15.76,17.47,2.73,4.49,29033
401,Carroll County,MS,10597,14.79,21.54,2.03,3.4,28015
402,Carroll County,NH,47818,9.62,17.7,2.24,3.31,33003
403,Carroll County,OH,28836,13.15,19.57,1.73,3.17,39019
404,Carroll County,TN,28522,19.86,19.87,2.37,6.66,47017
405,Carroll County,VA,30042,15.15,19.98,2.0,4.69,51035
406,Carson City,NV,55274,13.47,11.24,0.78,2.07,32510
407,Carson County,TX,6182,6.37,15.04,0.34,1.15,48065
408,Carter County,KY,27720,25.9,21.01,1.68,7.94,21043
409,Carter County,MO,6265,17.26,24.18,3.7,6.94,29035
410,Carter County,MT,1160,13.35,17.5,1.72,0.86,30011
411,Carter County,OK,47557,17.06,21.18,1.74,4.34,40019
412,Carter County,TN,57424,23.53,18.29,2.31,7.11,47019
413,Carteret County,NC,66469,11.83,16.73,1.66,4.05,37031
414,Carver County,MN,91042,3.98,25.7,0.85,1.02,27019
415,Cascade County,MT,81327,13.08,16.81,1.59,2.68,30013
