state,county,name,lat,lon
FL,St. Johns,"St. Johns, FL",29.890593,-81.383914
FL,St. Lucie,"St. Lucie, FL",27.380775,-80.443364
FL,Santa Rosa,"Santa Rosa, FL",30.703633,-87.014255
FL,Sarasota,"Sarasota, FL",27.184386,-82.365835
FL,Seminole,"Seminole, FL",28.690079,-81.13198
FL,Sumter,"Sumter, FL",28.714294,-82.074715
FL,Suwannee,"Suwannee, FL",30.189244,-82.992754
FL,Taylor,"Taylor, FL",30.016943,-83.616417
FL,Union,"Union, FL",30.05428,-82.366918
FL,Volusia,"Volusia, FL",29.057617,-81.161813
FL,Wakulla,"Wakulla, FL",30.140378,-84.375136
FL,Walton,"Walton, FL",30.631211,-86.176614
FL,Washington,"Washington, FL",30.602217,-85.662797
GA,Appling,"Appling, GA",31.739712,-82.290103
GA,Atkinson,"Atkinson, GA",31.300562,-82.883614
GA,Bacon,"Bacon, GA",31.563327,-82.387859
GA,Baker,"Baker, GA",31.319622,-84.454857
GA,Baldwin,"Baldwin, GA",33.059532,-83.255362
GA,Banks,"Banks, GA",34.351922,-83.498441
GA,Barrow,"Barrow, GA",33.992009,-83.712303
GA,Bartow,"Bartow, GA",34.240918,-84.838188
GA,Ben Hill,"Ben Hill, GA",31.740776,-83.14719
GA,Berrien,"Berrien, GA",31.274308,-83.231906
GA,Bibb,"Bibb, GA",32.808844,-83.694193
GA,Bleckley,"Bleckley, GA",32.435403,-83.331717
GA,Brantley,"Brantley, GA",31.197334,-81.982978
GA,Brooks,"Brooks, GA",30.833696,-83.588971
GA,Bryan,"Bryan, GA",32.017969,-81.438543
GA,Bulloch,"Bulloch, GA",32.393408,-81.74381
GA,Burke,"Burke, GA",33.063737,-82.00389
GA,Butts,"Butts, GA",33.290355,-83.958221
GA,Calhoun,"Calhoun, GA",31.521279,-84.62629
GA,Camden,"Camden, GA",30.916358,-81.636516
GA,Candler,"Candler, GA",32.403986,-82.071446
GA,Carroll,"Carroll, GA",33.582237,-85.080527
GA,Catoosa,"Catoosa, GA",34.899393,-85.137353
GA,Charlton,"Charlton, GA",30.779904,-82.139644
GA,Chatham,"Chatham, GA",31.974756,-81.091768
GA,Chattahoochee,"Chattahoochee, GA",32.347445,-84.788021
GA,Chattooga,"Chattooga, GA",34.474179,-85.345289
GA,Cherokee,"Cherokee, GA",34.244317,-84.475057
GA,Clarke,"Clarke, GA",33.952234,-83.36713
GA,Clay,"Clay, GA",31.619831,-84.992583
GA,Clayton,"Clayton, GA",33.552242,-84.412977
GA,Clinch,"Clinch, GA",30.917653,-82.702614
GA,Cobb,"Cobb, GA",33.93994,-84.574166
GA,Coffee,"Coffee, GA",31.549245,-82.844938
GA,Colquitt,"Colquitt, GA",31.189758,-83.769741
GA,Columbia,"Columbia, GA",33.550556,-82.251342
GA,Cook,"Cook, GA",31.152935,-83.429552
GA,Coweta,"Coweta, GA",33.352897,-84.762138
GA,Crawford,"Crawford, GA",32.709446,-83.979182
GA,Crisp,"Crisp, GA",31.914753,-83.753338
GA,Dade,"Dade, GA",34.852424,-85.506201
GA,Dawson,"Dawson, GA",34.442842,-84.173284
GA,Decatur,"Decatur, GA",30.877961,-84.577744
GA,DeKalb,"DeKalb, GA",33.770661,-84.226343
GA,Dodge,"Dodge, GA",32.160656,-83.156818
GA,Dooly,"Dooly, GA",32.151995,-83.807167
GA,Dougherty,"Dougherty, GA",31.535068,-84.214444
GA,Douglas,"Douglas, GA",33.699317,-84.765944
GA,Early,"Early, GA",31.324191,-84.906723
GA,Echols,"Echols, GA",30.7085,-82.836132
GA,Effingham,"Effingham, GA",32.361711,-81.343337
GA,Elbert,"Elbert, GA",34.115017,-82.842057
GA,Emanuel,"Emanuel, GA",32.5911,-82.299763
GA,Evans,"Evans, GA",32.151902,-81.887618
GA,Fannin,"Fannin, GA",34.863837,-84.319287
GA,Fayette,"Fayette, GA",33.412717,-84.493941
GA,Floyd,"Floyd, GA",34.263677,-85.21373
GA,Forsyth,"Forsyth, GA",34.225143,-84.127336
GA,Franklin,"Franklin, GA",34.375155,-83.227291
GA,Fulton,"Fulton, GA",33.790034,-84.468182
GA,Gilmer,"Gilmer, GA",34.690541,-84.453984
GA,Glascock,"Glascock, GA",33.227491,-82.606913
GA,Glynn,"Glynn, GA",31.212747,-81.496517
GA,Gordon,"Gordon, GA",34.509667,-84.873862
GA,Grady,"Grady, GA",30.875863,-84.244772
GA,Greene,"Greene, GA",33.576836,-83.167103
GA,Gwinnett,"Gwinnett, GA",33.959101,-84.022938
GA,Habersham,"Habersham, GA",34.635108,-83.526406
GA,Hall,"Hall, GA",34.317588,-83.818497
GA,Hancock,"Hancock, GA",33.26922,-83.000465
GA,Haralson,"Haralson, GA",33.795165,-85.220062
GA,Harris,"Harris, GA",32.731549,-84.912432
GA,Hart,"Hart, GA",34.348733,-82.96329
GA,Heard,"Heard, GA",33.290968,-85.139594
